State,Women,Men
AL,49.0,70.0
AK,56.0,78.0
AZ,50.0,75.0
AR,48.0,65.0
CA,65.0,90.0
CO,53.0,76.0
CT,65.0,93.0
DE,58.0,72.0
DC,74.0,86.0
FL,48.0,65.0
GA,52.0,72.0
HI,50.0,67.0
ID,45.0,62.0
IL,59.0,80.0
IN,49.3,70.0
IA,50.0,65.0
KS,47.0,65.0
KY,50.0,65.0
LA,48.0,70.0
ME,50.0,60.0
MD,67.5,90.0
MA,64.0,88.0
MI,56.0,75.0
MN,56.0,75.0
MS,43.0,60.0
MO,49.0,65.0
MT,45.0,59.3
NE,48.5,65.0
NV,53.0,65.0
NH,52.0,80.0
NJ,67.0,95.0
NM,51.0,66.0
NY,65.0,80.0
NC,50.0,70.0
ND,47.0,55.0
OH,53.0,72.0
OK,42.0,62.0
OR,58.0,70.0
PA,55.0,75.0
RI,62.0,73.0
SC,45.0,68.0
SD,38.0,55.0
TN,47.0,65.0
TX,52.0,80.0
UT,48.0,71.0
VT,48.0,65.0
VA,60.0,90.0
WA,60.0,82.0
WV,46.0,68.0
WI,52.0,66.0
WY,52.0,65.0
