State,Name,HexRow,HexCol,WE,ME,OB,UN,IM,ObamaVotes,RomneyVotes,GS,FB
AL,Alabama,7,6,49.0,70.0,33.5,6.2,8.6,795696,1255925,20.9,3.4
AK,Alaska,1,2,56.0,78.0,29.7,6.6,4.9,122640,164676,5.8,6.9
AZ,Arizona,7,2,50.0,75.0,28.9,5.4,5.7,1025232,1233654,21.3,13.6
AR,Arkansas,6,5,48.0,65.0,35.9,4.0,7.4,394409,647744,10.0,4.3
CA,California,6,1,65.0,90.0,24.7,5.4,4.7,7854285,4839958,76.6,27.0
CO,Colorado,5,3,53.0,76.0,21.3,2.9,5.1,1323101,1185243,20.0,9.9
CT,Connecticut,4,11,65.0,93.0,26.3,5.7,5.1,905083,634892,15.6,13.5
DE,Delaware,5,10,58.0,72.0,30.7,4.4,7.6,242584,165484,4.9,8.7
DC,District of Columbia,6,9,74.0,86.0,21.7,6.5,7.3,267070,21381,4,14.3
FL,Florida,8,6,48.0,65.0,26.2,4.9,6.2,4237756,4163447,55.1,19.5
GA,Georgia,7,7,52.0,72.0,30.5,5.5,6.7,1773827,2078688,29.5,9.5
HI,Hawaii,8,-1,50.0,67.0,22.1,3.1,5.5,306658,121015,9.1,17.9
ID,Idaho,4,2,45.0,62.0,28.9,3.8,5.4,212787,420911,4.6,5.9
IL,Illinois,4,6,59.0,80.0,29.3,6.5,6.3,3019512,2135216,34.0,13.8
IN,Indiana,4,7,49.3,70.0,32.7,5.0,7.2,1152887,1420543,13.9,4.6
IA,Iowa,4,5,50.0,65.0,30.9,3.8,4.8,822544,730617,10.0,4.3
KS,Kansas,6,4,47.0,65.0,31.3,3.9,6.3,440726,692634,8.9,6.5
KY,Kentucky,5,6,50.0,65.0,31.6,5.6,6.7,679370,1087190,11.8,3.1
LA,Louisiana,7,4,48.0,70.0,34.9,6.1,8.3,809141,1152262,9.0,3.6
ME,Maine,1,13,50.0,60.0,28.2,3.4,6.9,401306,292276,7.3,3.3
MD,Maryland,5,9,67.5,90.0,29.6,4.7,6.6,1677844,971869,20.3,14.1
MA,Massachusetts,3,11,64.0,88.0,23.3,4.4,4.2,1921290,1188314,29.9,15.1
MI,Michigan,3,8,56.0,75.0,30.7,4.8,6.8,2564569,2115256,30.3,6.1
MN,Minnesota,3,5,56.0,75.0,27.6,3.7,5.0,1546167,1320225,18.8,7.5
MS,Mississippi,7,5,43.0,60.0,35.5,6.3,9.2,562949,710746,10.0,1.9
MO,Missouri,5,5,49.0,65.0,30.2,4.2,6.5,1223796,1482440,15.8,3.8
MT,Montana,3,3,45.0,59.3,26.4,4.3,5.8,201839,267928,6.5,1.8
NE,Nebraska,5,4,48.5,65.0,30.2,3.0,5.2,302081,475064,5.8,6.6
NV,Nevada,5,2,53.0,65.0,27.7,5.8,5.3,531373,463567,6.5,19.0
NH,New Hampshire,2,12,52.0,80.0,27.4,2.6,4.8,369561,329918,8.2,5.5
NJ,New Jersey,4,10,67.0,95.0,26.9,4.4,4.7,2125101,1477568,31.3,21.2
NM,New Mexico,6,3,51.0,66.0,28.4,6.2,5.9,415335,335788,5.3,9.3
NY,New York,3,10,65.0,80.0,27.0,4.8,5.0,4485741,2490431,30.6,22.7
NC,North Carolina,6,7,50.0,70.0,29.7,5.5,7.2,2178391,2270395,31.3,7.7
ND,North Dakota,3,4,47.0,55.0,32.2,3.1,6.3,124827,188163,2.9,2.8
OH,Ohio,4,8,53.0,72.0,32.6,5.1,7.6,2827710,2661433,28.3,3.8
OK,Oklahoma,7,3,42.0,62.0,33.0,4.4,7.2,443547,891325,10.6,5.6
OR,Oregon,5,1,58.0,70.0,27.9,4.5,5.0,970488,754175,15.0,9.5
PA,Pennsylvania,4,9,55.0,75.0,30.2,4.9,6.7,2990274,2680434,33.9,6.0
RI,Rhode Island,3,12,62.0,73.0,27.0,5.4,6.5,279677,157204,5.4,13.5
SC,South Carolina,6,8,45.0,68.0,32.1,5.7,7.2,865941,1071645,16.3,4.7
SD,South Dakota,4,4,38.0,55.0,29.8,2.5,7.0,145039,210610,4.3,2.7
TN,Tennessee,6,6,47.0,65.0,31.2,4.5,7.2,960709,1462330,17.0,4.4
TX,Texas,8,3,52.0,80.0,31.9,4.3,5.8,3308124,4569843,60.3,16.2
UT,Utah,6,2,48.0,71.0,25.7,3.5,5.2,251813,740600,8.8,8.3
VT,Vermont,2,11,48.0,65.0,24.8,3.3,4.5,199239,92698,4.6,4.2
VA,Virginia,5,8,60.0,90.0,28.5,4.0,6.5,1971820,1822522,29.9,11.6
WA,Washington,3,2,60.0,82.0,27.3,5.8,4.8,1755396,1290670,19.1,13.2
WV,West Virginia,5,7,46.0,68.0,35.7,6.5,7.1,238269,417655,4.9,1.4
WI,Wisconsin,3,6,52.0,66.0,31.2,4.5,6.1,1620985,1407966,16.5,4.6
WY,Wyoming,4,3,52.0,65.0,29.5,5.2,5.7,69286,170962,2.6,3.2
